t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  8.1000  -2.0467   1.9211   2.1440  -2.0184  -1.0473   1.3520   0.8128  -1.1503  -0.0000   0.1016  -0.0063   0.4225   0.3972  -0.0157 
  8.2000  -2.3467   1.7266   1.5563  -2.6060  -1.3416   0.7418   0.4518  -1.2300  -0.0209   0.1029  -0.0029   0.4205   0.4076  -0.0160 
  8.3000  -2.6668   0.9038   1.0011  -2.9830  -1.2334   1.0742   0.6267  -1.0785  -0.0468   0.0944  -0.0134   0.4160   0.4171  -0.0173 
  8.4000  -3.0924   0.7701   0.3810  -2.6668  -1.0110   1.1374   0.9530  -1.3312  -0.0576   0.0864   0.0264   0.4104   0.4258  -0.0147 
  8.5000  -3.2505   0.6242   0.2310  -2.6912  -0.9106   1.1374   1.0387  -1.3598  -0.0636   0.0850   0.0309   0.4042   0.4344  -0.0116 
  8.6000  -3.6639   0.5026   0.7052  -2.8857  -0.6327   1.2438   0.7851  -1.2923  -0.0668   0.0970   0.0187   0.3976   0.4442  -0.0097 
  8.7000  -3.1370   0.8673   0.5998  -3.7936  -0.9080   0.9928   0.8535  -0.8716  -0.0683   0.1050  -0.0126   0.3909   0.4547  -0.0110 
  8.8000  -3.1897   0.7295   0.7295  -3.2018  -0.8448   1.0949   0.7643  -1.0395  -0.0617   0.0981  -0.0004   0.3848   0.4646  -0.0110 
  8.9000  -3.0802   0.7214   0.8552  -3.0883  -0.8309   1.1555   0.7712  -1.0733  -0.0574   0.0968  -0.0046   0.3792   0.4744  -0.0115 
  9.0000  -3.0194   0.7052   0.7701  -3.4815  -0.8578   1.1928   0.7418  -0.8093  -0.0628   0.0997  -0.0171   0.3730   0.4844  -0.0132 
  9.1000  -3.0194   0.8390   0.8187  -3.1370  -0.8240   1.0612   0.7383  -0.9409  -0.0562   0.0977  -0.0032   0.3675   0.4943  -0.0135 
  9.2000  -2.8614   1.0335   1.0700  -3.0316  -0.9002   0.9244   0.5626  -0.9694  -0.0474   0.1000  -0.0067   0.3629   0.5043  -0.0142 
  9.3000  -3.2343   0.6444   1.2402  -2.9830  -0.7409   1.1780   0.3886  -0.9348  -0.0542   0.1013  -0.0112   0.3577   0.5145  -0.0153 
  9.4000  -2.3872   0.7295   0.8146  -2.9546  -1.1529   1.1348   0.5964  -0.9729  -0.0475   0.0861  -0.0212   0.3530   0.5232  -0.0174 
  9.5000  -2.5209   0.8633   0.8673  -2.6263  -1.1382   1.0084   0.5566  -1.1374  -0.0427   0.0860  -0.0036   0.3489   0.5319  -0.0178 
  9.6000  -2.5412   0.9646   0.6931  -2.5412  -1.1806   0.9348   0.6552  -1.2196  -0.0428   0.0843   0.0088   0.3448   0.5404  -0.0169 
  9.7000  -2.5696   0.5350   0.2675  -2.2737  -1.1815   1.2542   0.9045  -1.4273  -0.0505   0.0706   0.0183   0.3399   0.5475  -0.0151 
  9.8000  -2.5574   0.3931   0.0365  -2.3953  -1.2438   1.3252   1.1460  -1.4351  -0.0565   0.0673   0.0168   0.3343   0.5543  -0.0134 
  9.9000  -2.9465   0.6485   0.3404  -2.4237  -1.0655   1.2222   1.0681  -1.4819  -0.0548   0.0795   0.0270   0.3289   0.5623  -0.0107 
 10.0000  -3.0519   0.8187   0.7538  -2.7763  -1.0413   1.1824   0.8734  -1.3209  -0.0532   0.0925   0.0111   0.3237   0.5716  -0.0096 
 10.1000  -2.9181   0.6687   1.0213  -2.8209  -1.0672   1.2499   0.7098  -1.3027  -0.0506   0.0929  -0.0083   0.3187   0.5810  -0.0104 
 10.2000  -3.0519   1.0376   0.8552  -3.0073  -0.9634   1.0508   0.8197  -1.2300  -0.0521   0.0994   0.0074   0.3136   0.5910  -0.0097 
 10.3000  -3.0802   1.1308   1.0092  -3.0397  -0.9314   0.9175   0.7158  -1.1884  -0.0497   0.1032   0.0053   0.3088   0.6013  -0.0091 
 10.4000  -2.9181   0.8025   1.3132  -2.9587  -0.8967   1.1200   0.4839  -1.1754  -0.0470   0.0999  -0.0179   0.3042   0.6114  -0.0109 
 10.5000  -2.8573   0.7903   1.0335  -3.1532  -0.9642   1.0577   0.6111  -0.9902  -0.0523   0.0979  -0.0175   0.2990   0.6212  -0.0127 
 10.6000  -3.0519   0.8268   0.9484  -3.0681  -0.8500   1.0222   0.6154  -1.0421  -0.0543   0.0987  -0.0045   0.2937   0.6312  -0.0131 
 10.7000  -2.9708   0.9119   0.8633  -2.9546  -0.9002   0.9859   0.6353  -1.0672  -0.0519   0.0963   0.0021   0.2887   0.6409  -0.0129 
 10.8000  -2.5290   0.8065   0.6323  -3.5544  -1.1200   1.0248   0.7539  -0.7141  -0.0581   0.0940  -0.0276   0.2830   0.6503  -0.0157 
 10.9000  -2.5817   0.6363   0.6444  -2.8452  -1.1339   1.1123   0.7366  -1.0707  -0.0518   0.0838  -0.0088   0.2779   0.6588  -0.0166 
 11.0000  -2.6425   0.5512   0.5390  -2.6385  -1.1616   1.1988   0.8180  -1.1954  -0.0524   0.0796   0.0005   0.2728   0.6669  -0.0165 
 11.1000  -2.7236   0.4012   0.6606  -2.6749  -1.1374   1.3096   0.7626  -1.1945  -0.0542   0.0808  -0.0068   0.2675   0.6750  -0.0172 
 11.2000  -2.7601   0.5958   0.3769  -2.6871  -1.1451   1.2438   0.9469  -1.1218  -0.0559   0.0802   0.0095   0.2621   0.6831  -0.0162 
 11.3000  -2.8857   0.5512   0.4539  -2.6871  -1.0664   1.2949   0.9833  -1.2317  -0.0571   0.0822   0.0096   0.2565   0.6915  -0.0153 
 11.4000  -2.8695   0.7417   0.5958  -2.8087  -1.1149   1.2395   0.9288  -1.1876  -0.0543   0.0877   0.0067   0.2512   0.7003  -0.0146 
 11.5000  -3.5747   0.6849   1.0092  -2.8695  -0.7193   1.3070   0.7132  -1.1711  -0.0594   0.1017   0.0124   0.2454   0.7106  -0.0134 
 11.6000  -2.8816   0.9403   0.9484  -2.9911  -1.0733   1.1685   0.7453  -1.0837  -0.0498   0.0970  -0.0038   0.2406   0.7203  -0.0138 
 11.7000  -2.9465   1.0619   1.0740  -3.0276  -1.0127   1.0551   0.6423  -1.0560  -0.0480   0.1014  -0.0030   0.2359   0.7305  -0.0141 
 11.8000  -2.8330   1.0335   0.9970  -3.0276  -1.1001   1.0049   0.6371  -1.0144  -0.0479   0.0986  -0.0051   0.2313   0.7405  -0.0146 
 11.9000  -2.8452   0.7579   0.9038  -3.0194  -1.0898   1.1391   0.6674  -0.9686  -0.0525   0.0941  -0.0104   0.2262   0.7499  -0.0156 
 12.0000  -2.9587   0.8795   0.8876  -2.8452  -0.9720   1.1252   0.6648  -1.0716  -0.0505   0.0946   0.0034   0.2213   0.7595  -0.0153 
