t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
 11.8000  -3.2140   3.1775  -3.3437   3.3842  -0.8612   0.6985  -0.5038   0.4527   0.0001  -0.0042   0.4260  -0.0008   0.0001   4.6351 
 11.9000  -2.8695   3.1532  -2.8371   2.5777  -0.7513   0.4397  -0.3644   0.6050   0.0003   0.0076   0.3713  -0.0001   0.0000   4.6722 
 12.0000  -3.1127   2.8249  -3.0194   3.4936  -0.7253   0.7132  -0.7279   0.5003   0.0023  -0.0072   0.4042  -0.0008  -0.0002   4.7126 
 12.1000  -2.6668   2.3142  -2.6182   2.9668  -1.0863   1.0439  -0.6665   0.3731  -0.0001  -0.0075   0.3431  -0.0015  -0.0002   4.7470 
 12.2000  -3.4815   3.9800  -3.7571   2.8209  -1.2196   0.6474  -0.3679   0.7920  -0.0055   0.0110   0.4558  -0.0005   0.0004   4.7925 
 12.3000  -2.6142   2.7357  -2.9668   2.6304  -0.6803   0.5358  -0.2718   0.6648  -0.0027  -0.0031   0.3554  -0.0008   0.0006   4.8281 
 12.4000  -3.0559   3.1735  -2.9668   3.4572  -1.0326   0.9937  -0.5843   0.5401   0.0076  -0.0024   0.4108  -0.0009  -0.0001   4.8692 
 12.5000  -3.0802   3.2140  -2.8492   2.9181  -0.9885   0.6197  -0.5384   0.3557   0.0025   0.0066   0.3916  -0.0003  -0.0003   4.9083 
 12.6000  -3.2221   3.2707  -3.1978   2.8735  -0.8188   0.4111  -0.5384   0.6137  -0.0034   0.0053   0.4079   0.0002   0.0002   4.9491 
 12.7000  -3.2626   2.4439  -2.5655   2.6425  -0.5263   0.7357  -0.8076   0.7600  -0.0093   0.0062   0.3544   0.0006   0.0012   4.9845 
 12.8000  -3.0883   2.9060  -3.2505   3.9030  -0.6293   0.9487  -0.6890   0.6570   0.0059  -0.0145   0.4269  -0.0006   0.0002   5.0272 
 12.9000  -2.6060   3.1167  -3.1370   2.7520  -1.0872   0.5531  -0.2441   0.3999   0.0016  -0.0021   0.3770  -0.0008   0.0000   5.0649 
 13.0000  -3.0032   3.1005  -3.1248   3.1856  -1.0110   0.7799  -0.4934   0.4406   0.0020  -0.0026   0.4031  -0.0010  -0.0002   5.1052 
 13.1000  -3.0559   2.7276  -2.5939   2.7033  -0.9409   0.9184  -0.6353   0.5289  -0.0027   0.0061   0.3598  -0.0005   0.0002   5.1412 
