t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  7.1000   0.7944   8.4788   0.5958   9.0827  -0.1420   1.2092   0.0874   0.6544   0.2369  -0.0100   0.5250  -0.3033   0.7650   3.9496 
  7.2000   0.5107   9.3380   0.8390  10.1810  -0.2147   1.3321   0.0857   0.5644   0.2609  -0.0064   0.5899  -0.3218   0.7465   4.0086 
  7.3000   0.3202   9.0624   1.4347   8.4423  -0.1082   0.8223   0.0121   0.6803   0.2407   0.0217   0.5114  -0.3357   0.7268   4.0597 
  7.4000   0.4985   9.4150   0.4539   9.5731   0.0234   0.8154  -0.1636   1.2291   0.2493  -0.0025   0.5856  -0.3511   0.7071   4.1183 
  7.5000   1.0943   9.0138   0.7457   9.4150   0.0831   0.7911   0.0138   0.7825   0.2534  -0.0094   0.5386  -0.3660   0.6867   4.1721 
  7.6000   0.5390   9.2772   0.4904   9.4636  -0.0805   0.9539   0.0087   0.7747   0.2471  -0.0029   0.5750  -0.3790   0.6656   4.2296 
  7.7000   1.0335   9.5812   1.0376   9.4109   0.1541   0.5367   0.0130   0.6777   0.2633   0.0022   0.5494  -0.3910   0.6422   4.2846 
  7.8000   0.5471   9.9135   0.5998   9.0583  -0.1203   0.2856  -0.1151   0.7262   0.2515   0.0113   0.5787  -0.4004   0.6189   4.3424 
  7.9000   1.3496   8.9286   0.5350   9.1313   0.1991   0.4241  -0.0329   0.7297   0.2493  -0.0127   0.5252  -0.4106   0.5961   4.3950 
  8.0000   0.6323   8.8192   0.5228   9.3623  -0.3358   1.1097   0.0052   0.4008   0.2417  -0.0082   0.5528  -0.4189   0.5734   4.4502 
  8.1000   0.9038   8.7179   0.8876   9.4758  -0.2969   1.4057   0.0718   0.4562   0.2498  -0.0097   0.5325  -0.4263   0.5495   4.5035 
  8.2000   0.5471   9.1961   0.8065   9.6298  -0.5990   1.4819   0.0476   0.4882   0.2522  -0.0022   0.5673  -0.4318   0.5249   4.5602 
  8.3000   0.2472   9.4758   1.0376   8.5517  -0.3938   1.2421   0.0138   0.7721   0.2414   0.0214   0.5436  -0.4333   0.5007   4.6146 
