t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  9.6000  -3.3315   3.3802  -3.3964   3.1775  -0.7556   0.5393  -0.3644   0.7470  -0.0021   0.0017   0.4313  -0.0007  -0.0025   3.8932 
  9.7000  -3.3194   3.0762  -3.0154   3.2869  -0.7816   0.6873  -0.5713   0.6509   0.0004   0.0012   0.4123  -0.0006  -0.0026   3.9344 
  9.8000  -3.2464   3.4572  -2.8371   2.8330  -0.8154   0.4094  -0.6881   0.9712   0.0026   0.0129   0.4017   0.0001  -0.0037   3.9746 
  9.9000  -3.1613   3.4045  -3.3964   3.1289  -0.8431   0.4847  -0.3817   0.7920  -0.0003   0.0005   0.4250   0.0002  -0.0037   4.0171 
 10.0000  -2.9546   2.8938  -3.3072   3.3072  -0.9859   0.7582  -0.4060   0.6838  -0.0008  -0.0096   0.4046  -0.0005  -0.0030   4.0576 
 10.1000  -3.1775   3.0883  -3.0640   3.0397  -0.8180   0.7253  -0.5825   0.8361  -0.0014   0.0020   0.4016  -0.0003  -0.0030   4.0977 
 10.2000  -3.0316   3.7449  -3.2099   3.1289  -0.9218   0.3687  -0.4155   0.7781   0.0079   0.0055   0.4258  -0.0003  -0.0040   4.1403 
 10.3000  -2.9789   2.8573  -3.2829   3.3558  -1.0119   0.8361  -0.3990   0.6345  -0.0006  -0.0100   0.4050  -0.0011  -0.0034   4.1808 
 10.4000  -3.1532   2.6993  -3.1005   3.0883  -0.8725   1.0292  -0.4934   0.7877  -0.0058  -0.0042   0.3910  -0.0011  -0.0027   4.2199 
 10.5000  -3.1127   3.5625  -3.4936   2.8330  -0.9738   0.5202  -0.3194   0.9063  -0.0026   0.0044   0.4221  -0.0006  -0.0026   4.2621 
 10.6000  -3.4774   3.1856  -3.2626   3.3437  -0.6864   0.7115  -0.4060   0.6388  -0.0026   0.0007   0.4308  -0.0005  -0.0024   4.3052 
 10.7000  -3.3194   2.8614  -3.0276   3.5382  -0.8180   0.8569  -0.5185   0.5176   0.0007  -0.0048   0.4138  -0.0009  -0.0023   4.3466 
 10.8000  -2.9911   3.2707  -3.4045   2.9708  -0.9919   0.6812  -0.3177   0.8396  -0.0019  -0.0014   0.4103  -0.0010  -0.0021   4.3876 
 10.9000  -3.0032   3.2869  -3.2099   3.2018  -0.9963   0.5834  -0.4172   0.6959   0.0034  -0.0015   0.4124  -0.0012  -0.0023   4.4289 
 11.0000  -2.9708   2.9424  -3.0397   3.1978  -1.0153   0.8379  -0.5462   0.6743   0.0016  -0.0041   0.3945  -0.0017  -0.0024   4.4683 
 11.1000  -3.1491   2.9587  -2.9911   3.0762  -0.9236   0.8335  -0.5773   0.7634  -0.0013   0.0005   0.3953  -0.0016  -0.0023   4.5079 
 11.2000  -3.1897   3.2221  -3.1046   3.1410  -0.9859   0.5964  -0.4769   0.7228   0.0009   0.0021   0.4110  -0.0014  -0.0024   4.5489 
 11.3000  -2.9830   3.2991  -3.0154   3.2464  -0.9937   0.6682  -0.5444   0.6916   0.0068   0.0003   0.4073  -0.0015  -0.0031   4.5897 
 11.4000  -3.5625   2.9587  -2.6425   3.1775  -0.7089   0.8803  -0.8145   0.7253  -0.0009   0.0088   0.4007  -0.0006  -0.0031   4.6297 
 11.5000  -2.9587   3.9881  -3.6841   2.8127  -1.0647   0.2398  -0.2389   0.9348   0.0020   0.0056   0.4365  -0.0001  -0.0033   4.6734 
 11.6000  -3.6841   3.1654  -3.1491   3.3477  -0.6371   0.6786  -0.5107   0.6509  -0.0040   0.0044   0.4333   0.0004  -0.0030   4.7167 
 11.7000  -3.3721   2.8614  -2.8371   3.4450  -0.7756   0.8595  -0.7314   0.5626   0.0012  -0.0006   0.4063   0.0003  -0.0031   4.7574 
 11.8000  -3.1167   3.8422  -3.2869   2.9100  -0.8993   0.2874  -0.4916   0.9262   0.0044   0.0095   0.4271   0.0013  -0.0035   4.8001 
 11.9000  -3.5666   3.0194  -3.3113   3.2261  -0.6959   0.7063  -0.4743   0.7002  -0.0079   0.0006   0.4261   0.0013  -0.0027   4.8427 
 12.0000  -3.1654   2.8857  -3.2464   3.5666  -0.9002   0.8119  -0.5012   0.5271   0.0005  -0.0095   0.4177   0.0004  -0.0029   4.8844 
 12.1000  -3.1735   3.0073  -3.0883   3.0762  -0.8794   0.7799  -0.5505   0.7756  -0.0022   0.0002   0.4008   0.0003  -0.0026   4.9245 
 12.2000  -3.0762   3.1775  -3.3842   3.2464  -0.9616   0.6327  -0.3592   0.6786  -0.0005  -0.0047   0.4183  -0.0001  -0.0027   4.9664 
 12.3000  -3.0397   2.9668  -3.3802   3.3234  -0.9573   0.7937  -0.3532   0.6345  -0.0016  -0.0087   0.4127  -0.0010  -0.0028   5.0076 
 12.4000  -3.5625   3.1046  -2.9587   3.0154  -0.6535   0.7496  -0.5851   0.8007  -0.0050   0.0087   0.4104  -0.0003  -0.0020   5.0487 
 12.5000  -3.3113   3.6477  -3.2018   2.8735  -0.8024   0.3895  -0.4380   0.8240   0.0001   0.0110   0.4232   0.0007  -0.0017   5.0910 
 12.6000  -3.0802   3.0883  -3.2869   3.3113  -0.9201   0.6994  -0.3679   0.6414   0.0004  -0.0054   0.4145   0.0002  -0.0019   5.1324 
 12.7000  -3.4045   2.8573  -3.1491   3.4410  -0.7002   0.8379  -0.4536   0.5843  -0.0032  -0.0041   0.4173  -0.0003  -0.0018   5.1742 
 12.8000  -3.0438   3.4815  -3.0802   2.8452  -0.9201   0.4726  -0.4951   0.8500   0.0025   0.0075   0.4042   0.0005  -0.0017   5.2146 
 12.9000  -3.1248   3.1856  -2.8614   3.2261  -0.8405   0.6275  -0.6241   0.6769   0.0053   0.0028   0.4025   0.0010  -0.0020   5.2548 
 13.0000  -2.9424   2.6506  -2.9060   3.5788  -0.9963   0.9478  -0.6223   0.5029   0.0048  -0.0111   0.3921   0.0003  -0.0030   5.2941 
 13.1000  -2.9181   3.4045  -3.4653   2.9951  -1.0439   0.5306  -0.2848   0.7955   0.0002  -0.0017   0.4150   0.0002  -0.0031   5.3356 
 13.2000  -3.1370   3.3072  -3.2829   3.3437  -0.9054   0.5713  -0.3930   0.6094   0.0029  -0.0023   0.4244   0.0001  -0.0035   5.3780 
 13.3000  -2.9708   2.8979  -3.0438   3.3842  -1.0127   0.8327  -0.5479   0.5289   0.0033  -0.0070   0.3992  -0.0002  -0.0042   5.4179 
 13.4000  -3.3599   3.2707  -2.9060   2.8979  -0.8007   0.6483  -0.6604   0.8335  -0.0012   0.0103   0.4037   0.0005  -0.0034   5.4583 
 13.5000  -3.2829   3.6274  -3.2099   2.9911  -0.8760   0.4172  -0.4588   0.8491   0.0016   0.0089   0.4257   0.0013  -0.0029   5.5009 
 13.6000  -3.1410   3.0032  -3.1654   3.2707  -0.9435   0.7271  -0.5029   0.6587  -0.0004  -0.0036   0.4085   0.0010  -0.0031   5.5417 
 13.7000  -3.4774   2.8249  -2.9789   2.9424  -0.7366   0.8344  -0.6769   0.8318  -0.0086   0.0048   0.3969   0.0007  -0.0022   5.5814 
 13.8000  -3.2099   3.8098  -3.6031   2.8330  -0.8301   0.3506  -0.2900   0.9262  -0.0021   0.0073   0.4369   0.0010  -0.0015   5.6251 
 13.9000  -2.9100   2.9668  -3.1856   3.2991  -1.0361   0.7937  -0.4890   0.6691   0.0021  -0.0076   0.4013   0.0007  -0.0022   5.6652 
 14.0000  -3.1654   2.6425  -3.0802   3.7125  -0.8846   0.9686  -0.5773   0.4233   0.0014  -0.0123   0.4091   0.0001  -0.0033   5.7061 
 14.1000  -3.1370   3.1897  -3.3315   3.0762  -0.9296   0.6613  -0.3834   0.7721  -0.0025  -0.0010   0.4135  -0.0002  -0.0033   5.7475 
 14.2000  -3.3802   3.0762  -3.1410   3.3599  -0.7176   0.7686  -0.4588   0.6137  -0.0011  -0.0006   0.4207  -0.0003  -0.0033   5.7895 
 14.3000  -3.2464   2.9343  -3.1248   3.5625  -0.8457   0.8569  -0.4830   0.4553   0.0016  -0.0063   0.4178  -0.0005  -0.0039   5.8313 
 14.4000  -3.3477   3.1978  -3.2748   2.8857  -0.7504   0.7089  -0.4588   0.8387  -0.0067   0.0048   0.4125  -0.0009  -0.0032   5.8726 
 14.5000  -3.2221   3.4531  -3.3964   3.1248  -0.8318   0.5167  -0.3471   0.7150  -0.0005   0.0019   0.4285  -0.0008  -0.0030   5.9154 
 14.6000  -3.1005   3.0640  -3.3802   3.2626  -0.8690   0.7323  -0.3445   0.6249  -0.0019  -0.0060   0.4158  -0.0012  -0.0035   5.9570 
 14.7000  -3.5017   3.3072  -3.0073   3.0802  -0.6648   0.6353  -0.5159   0.7028  -0.0015   0.0090   0.4187  -0.0011  -0.0026   5.9989 
 14.8000  -3.1856   3.5869  -3.1410   3.0316  -0.8379   0.4371  -0.4665   0.7781   0.0036   0.0075   0.4203  -0.0005  -0.0019   6.0409 
 14.9000  -2.7398   2.9424  -3.1410   3.0924  -1.1123   0.7929  -0.4484   0.7530   0.0019  -0.0069   0.3869  -0.0005  -0.0027   6.0796 
 15.0000  -3.1654   2.5453  -2.8857   3.5788  -0.8621   1.0811  -0.6301   0.4942   0.0009  -0.0094   0.3953  -0.0006  -0.0036   6.1191 
 15.1000  -2.8452   3.6760  -3.7328   2.9546  -1.0993   0.3912  -0.1541   0.8067   0.0007  -0.0021   0.4288  -0.0006  -0.0038   6.1620 
 15.2000  -3.2869   3.1897  -3.1005   3.2464  -0.8206   0.7236  -0.4025   0.6561   0.0006   0.0016   0.4163  -0.0005  -0.0037   6.2036 
 15.3000  -3.2869   3.0032  -2.7520   3.3964  -0.8266   0.8180  -0.6578   0.5436   0.0045   0.0018   0.4038  -0.0000  -0.0035   6.2440 
 15.4000  -3.0883   3.4936  -3.4936   2.8330  -0.9625   0.5133  -0.3142   0.8794  -0.0032   0.0032   0.4191  -0.0003  -0.0032   6.2859 
 15.5000  -3.1248   3.3072  -3.2991   3.1654  -0.9054   0.6068  -0.3956   0.7262   0.0006  -0.0004   0.4187  -0.0003  -0.0032   6.3278 
 15.6000  -3.2099   3.0194  -3.1167   3.2829  -0.8690   0.7859  -0.4882   0.6249  -0.0003  -0.0021   0.4100  -0.0003  -0.0034   6.3688 
 15.7000  -3.1856   3.3437  -3.0276   2.9546  -0.8742   0.6206  -0.5955   0.8214   0.0011   0.0068   0.4062  -0.0003  -0.0028   6.4094 
 15.8000  -3.1005   3.3923  -3.4288   3.1491  -0.9314   0.4942  -0.3705   0.7279   0.0002  -0.0011   0.4244  -0.0002  -0.0029   6.4519 
 15.9000  -3.0681   3.0559  -3.3721   3.2626  -0.9504   0.7530  -0.3705   0.6829  -0.0015  -0.0064   0.4142  -0.0003  -0.0035   6.4933 
 16.0000  -3.4572   2.8330  -3.0883   3.1410  -0.7453   0.7981  -0.5176   0.6899  -0.0071   0.0008   0.4065  -0.0010  -0.0036   6.5339 
